fold,backbone,sample_id,split,label,label_name,prediction,prediction_name,score,experiment,source_csv,source_predictions_csv,correct,true_class_score,error_margin,predicted_class_score,rank_within_true_class,image_path,image_exists,rank_kind,rank_order,gradcam_target_name,gradcam_status,gradcam_score,resolved_image_path,gradcam_overlay_path,gradcam_heatmap_path
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,test,0,benign,0,benign,4.921157028547896e-07,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999995078842971,0.4999995078842971,0.9999995078842971,18,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176.png,True,all,18,benign,ok,4.921199661112041e-07,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all18_1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all18_1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,test,0,benign,0,benign,1.5376497231045505e-06,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999984623502768,0.4999984623502769,0.9999984623502768,22,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304.png,True,all,22,benign,ok,1.5376276678580325e-06,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all22_1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all22_1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,test,0,benign,0,benign,2.460828181938268e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999753917181806,0.4999753917181806,0.9999753917181806,62,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526.png,True,all,62,benign,ok,2.4608187231933698e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all62_1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all62_1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,test,0,benign,0,benign,3.784587897825986e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999621541210216,0.4999621541210217,0.9999621541210216,78,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321.png,True,all,78,benign,ok,3.7846024497412145e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all78_1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all78_1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,test,0,benign,0,benign,4.153822737862356e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999584617726214,0.4999584617726214,0.9999584617726214,84,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509.png,True,all,84,benign,ok,4.1538070945534855e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all84_1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all84_1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,test,0,benign,0,benign,5.518097168533132e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999448190283148,0.4999448190283146,0.9999448190283148,95,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.png,True,all,95,benign,ok,5.518117905012332e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all95_1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all95_1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,test,0,benign,0,benign,5.558330667554401e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999444166933243,0.4999444166933244,0.9999444166933243,96,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827.png,True,all,96,benign,ok,5.558309203479439e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all96_1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all96_1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,test,0,benign,0,benign,6.745592691004276e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.99993254407309,0.4999325440730899,0.99993254407309,105,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991.png,True,all,105,benign,ok,6.745592691004276e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all105_1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all105_1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,test,0,benign,0,benign,8.931637421483174e-05,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9999106836257852,0.4999106836257851,0.9999106836257852,113,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430.png,True,all,113,benign,ok,8.931619231589139e-05,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all113_1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all113_1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430_predicted-benign.png
0,efficientnet_v2_s,1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,test,0,benign,0,benign,0.0001122021130868,luna16_synthetic_2d_gt,outputs/luna16_synthetic_2d_gt/fold_0/efficientnet_v2_s/test_predictions.csv,outputs/luna16_synthetic_2d_gt/all_test_predictions.csv,True,0.9998877978869132,0.4998877978869132,0.9998877978869132,124,data/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830.png,True,all,124,benign,ok,0.00011220434680581093,/ssd2/domenico/datasets/synthetic_2d/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830.png,docs/luna16_synthetic_2d_gradcam_all_predicted/overlays/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all124_1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830_predicted-benign.png,docs/luna16_synthetic_2d_gradcam_all_predicted/heatmaps/luna16_synthetic_2d_gt_efficientnet_v2_s_fold0_benign_all124_1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830_predicted-benign.png
